rank,team,solved,penalty,problems
72,fresh-wronged-669,400,68,21 1 try | score_cell || 35 1 try | score_cell || 56 5 tries | score_cell || score_cell
73,baggy-outpost-113,400,84,80 1 try | score_cell || 81 1 try | score_cell || 84 1 try | score_cell || score_cell
74,outlast-respect-1447,400,85,20 1 try | score_cell || 27 1 try | score_cell || 64 8 tries | score_cell || score_cell
75,epidermis-ogle-234,400,88,45 1 try | score_cell || 52 1 try | score_cell || 82 3 tries | score_cell || score_cell
76,vista-faceless-367,400,93,19 1 try | score_cell || 32 2 tries | score_cell || 69 8 tries | score_cell || score_cell
77,enchilada-amusement-1119,400,93,66 1 try | score_cell || 80 1 try | score_cell || 93 1 try | score_cell || score_cell
78,reaffirm-easter-471,400,94,54 1 try | score_cell || 56 1 try | score_cell || 91 2 tries | score_cell || score_cell
79,fanciness-unpack-67,400,105,21 1 try | score_cell || 61 1 try | score_cell || 102 2 tries | score_cell || score_cell
80,anthem-unsaid-214,400,108,70 1 try | score_cell || 85 1 try | score_cell || 105 2 tries | score_cell || score_cell
81,september-unashamed-1578,400,118,68 1 try | score_cell || 102 1 try | score_cell || 118 1 try | score_cell || score_cell
82,stardom-secluded-177,400,123,107 1 try | score_cell || 111 1 try | score_cell || 123 1 try | score_cell || 2 tries | score_cell
83,winking-wake-1207,400,135,113 2 tries | score_cell || 122 2 tries | score_cell || 129 1 try | score_cell || score_cell
84,stereo-ominous-1070,400,151,29 1 try | score_cell || 87 3 tries | score_cell || 130 6 tries | score_cell || score_cell
85,borax-keg-552,400,160,116 1 try | score_cell || 135 2 tries | score_cell || 157 1 try | score_cell || score_cell
86,stillness-down-875,400,167,161 1 try | score_cell || score_cell || score_cell || 151 3 tries | score_cell
87,elixir-vexingly-247,400,168,5 1 try | score_cell || 123 3 tries | score_cell || 129 12 tries | score_cell || score_cell
88,chubby-attain-914,400,172,119 2 tries | score_cell || 134 1 try | score_cell || 163 3 tries | score_cell || score_cell
89,hardener-borough-984,400,174,138 1 try | score_cell || 144 1 try | score_cell || 168 3 tries | score_cell || score_cell
90,suing-thrill-467,400,184,175 4 tries | score_cell || score_cell || score_cell || 161 1 try | score_cell
